municipio,institucion,sede,modalidad,requeridas,asignadas_propuestas,diferencia,estado
PUERTO RICO,INSTITUCIÓN EDUCATIVA ALICIO AMADOR ELVIRA,SEDE POLICARPA SALAVARRIETA,CAJM/JT-RI,3,3,0,COMPLETA
PUERTO RICO,INSTITUCIÓN EDUCATIVA ALICIO AMADOR ELVIRA,SEDE PRINCIPAL ALICIO AMADOR ELVIRA,CAA,5,5,0,COMPLETA
PUERTO RICO,INSTITUCIÓN EDUCATIVA ALICIO AMADOR ELVIRA,SEDE RAFAEL POMBO,CAA,3,3,0,COMPLETA
PUERTO LLERAS,INSTITUCIÓN EDUCATIVA LA PRIMAVERA,SEDE PRINCIPAL BARRANCO COLORADO,CAA,1,1,0,COMPLETA
PUERTO LLERAS,INSTITUCIÓN EDUCATIVA LA PRIMAVERA,SEDE PRINCIPAL BARRANCO COLORADO,CAARES,2,2,0,COMPLETA
PUERTO LLERAS,INSTITUCIÓN EDUCATIVA LA PRIMAVERA,SEDE BAJA PRIMAVERA,CAJM/JT-RI,0,0,0,COMPLETA
PUERTO LLERAS,INSTITUCIÓN EDUCATIVA LA PRIMAVERA,SEDE BRISAS DEL CAFRE,CAJM/JT-RI,0,0,0,COMPLETA
PUERTO LLERAS,INSTITUCIÓN EDUCATIVA LA PRIMAVERA,SEDE BUENA VISTA,CAJM/JT-RI,0,0,0,COMPLETA
PUERTO LLERAS,INSTITUCIÓN EDUCATIVA LA PRIMAVERA,SEDE LA CABANA,CAJM/JT-RI,0,0,0,COMPLETA
PUERTO LLERAS,INSTITUCIÓN EDUCATIVA LA PRIMAVERA,SEDE LA ESPERANZA,CAJM/JT-RI,0,0,0,COMPLETA
PUERTO LLERAS,INSTITUCIÓN EDUCATIVA LA PRIMAVERA,SEDE LA FUNDACION,CAJM/JT-RI,0,0,0,COMPLETA
PUERTO LLERAS,INSTITUCIÓN EDUCATIVA LA PRIMAVERA,SEDE LA LIBERTAD,CAJM/JT-RI,0,0,0,COMPLETA
PUERTO LLERAS,INSTITUCIÓN EDUCATIVA LA PRIMAVERA,SEDE LA UNION,CAJM/JT-RI,0,0,0,COMPLETA
PUERTO LLERAS,INSTITUCIÓN EDUCATIVA LA PRIMAVERA,SEDE LA VICTORIA,CAJM/JT-RI,0,0,0,COMPLETA
PUERTO LLERAS,INSTITUCIÓN EDUCATIVA LA PRIMAVERA,SEDE CHARCO DANTO,CAJM/JT-RI,0,0,0,COMPLETA
PUERTO LLERAS,INSTITUCIÓN EDUCATIVA LA PRIMAVERA,SEDE EL DORADO,CAJM/JT-RI,0,0,0,COMPLETA
PUERTO LLERAS,INSTITUCIÓN EDUCATIVA LA PRIMAVERA,SEDE LA REFORMA,CAJM/JT-RI,0,0,0,COMPLETA
PUERTO LLERAS,INSTITUCIÓN EDUCATIVA LA PRIMAVERA,SEDE LAGUNA GRINGO,CAJM/JT-RI,0,0,0,COMPLETA
PUERTO LLERAS,INSTITUCIÓN EDUCATIVA LA PRIMAVERA,SEDE CHISPAS,CAJM/JT-RI,0,0,0,COMPLETA
RESTREPO,INSTITUCIÓN EDUCATIVA RURAL DE RESTREPO,SEDE PRINCIPAL CANEY ALTO,CAA,3,3,0,COMPLETA
RESTREPO,INSTITUCIÓN EDUCATIVA FRANCISCO TORRES LEON,SEDE PRINCIPAL FRANCISCO TORRES LEON,CAJM/JT-RI,1,1,0,COMPLETA
RESTREPO,INSTITUCIÓN EDUCATIVA FRANCISCO TORRES LEON,SEDE PRINCIPAL FRANCISCO TORRES LEON,CAA,5,5,0,COMPLETA
RESTREPO,INSTITUCIÓN EDUCATIVA EMILIANO RESTREPO ECHAVARRIA,SEDE EMILIANO RESTREPO ECHAVARRIA PRIMARIA,CAJM/JT-RI,0,0,0,COMPLETA
RESTREPO,INSTITUCIÓN EDUCATIVA EMILIANO RESTREPO ECHAVARRIA,SEDE EMILIANO RESTREPO ECHAVARRIA PRIMARIA,CAA,2,2,0,COMPLETA
RESTREPO,INSTITUCIÓN EDUCATIVA EMILIANO RESTREPO ECHAVARRIA,SEDE PRINCIPAL EMILIANO RESTREPO ECHAVARRIA,CAJM/JT-RI,4,4,0,COMPLETA
SAN CARLOS DE GUAROA,INSTITUCIÓN EDUCATIVA GABRIEL GARCIA MARQUEZ,SEDE PRINCIPAL GABRIEL GARCIA MARQUEZ,CAJM/JT-RI,4,4,0,COMPLETA
SAN CARLOS DE GUAROA,INSTITUCIÓN EDUCATIVA GABRIEL GARCIA MARQUEZ,SEDE PRINCIPAL GABRIEL GARCIA MARQUEZ,CAARES,2,2,0,COMPLETA
SAN CARLOS DE GUAROA,INSTITUCIÓN EDUCATIVA ISABEL LA CATOLICA,SEDE PRINCIPAL ISABEL LA CATOLICA,CAJM/JT-RI,2,2,0,COMPLETA
SAN CARLOS DE GUAROA,INSTITUCIÓN EDUCATIVA SIMON BOLIVAR,SEDE PRINCIPAL SIMON BOLIVAR,CAJM/JT-RI,3,3,0,COMPLETA
SAN JUAN DE ARAMA,CENTRO EDUCATIVO FRANCISCO DE PAULA SANTANDER,SEDE MESA DE FERNANDEZ,CAA,1,1,0,COMPLETA
SAN JUAN DE ARAMA,CENTRO EDUCATIVO FRANCISCO DE PAULA SANTANDER,SEDE PRINCIPAL FRANCISCO DE PAULA SANTANDER,CAA,1,1,0,COMPLETA
SAN JUAN DE ARAMA,INSTITUCIÓN EDUCATIVA MANACAL,SEDE BELLAVISTA,CAJM/JT-RI,0,0,0,COMPLETA
SAN JUAN DE ARAMA,INSTITUCIÓN EDUCATIVA MANACAL,SEDE BRASILIA,CAJM/JT-RI,0,0,0,COMPLETA
SAN JUAN DE ARAMA,INSTITUCIÓN EDUCATIVA MANACAL,SEDE CERRITOS,CAJU-RI,0,0,0,COMPLETA
SAN JUAN DE ARAMA,INSTITUCIÓN EDUCATIVA MANACAL,SEDE CERRITOS,CAA-JU,1,1,0,COMPLETA
SAN JUAN DE ARAMA,INSTITUCIÓN EDUCATIVA MANACAL,SEDE JUAN BOSCO,CAJM/JT-RI,0,0,0,COMPLETA
SAN JUAN DE ARAMA,INSTITUCIÓN EDUCATIVA MANACAL,SEDE PRINCIPAL MANACAL,CAJU-RI,0,0,0,COMPLETA
SAN JUAN DE ARAMA,INSTITUCIÓN EDUCATIVA MANACAL,SEDE PRINCIPAL MANACAL,CAA-JU,2,2,0,COMPLETA
SAN JUAN DE ARAMA,INSTITUCIÓN EDUCATIVA MANACAL,SEDE PRINCIPAL MANACAL,CAARES,4,4,0,COMPLETA
SAN JUAN DE ARAMA,INSTITUCIÓN EDUCATIVA SAN JUAN DE ARAMA,SEDE LA LIBERTAD,CAJM/JT-RI,1,1,0,COMPLETA
SAN JUAN DE ARAMA,INSTITUCIÓN EDUCATIVA SAN JUAN DE ARAMA,SEDE PRINCIPAL SAN JUAN DE ARAMA,CAA,4,4,0,COMPLETA
SAN JUAN DE ARAMA,INSTITUCIÓN EDUCATIVA SAN JUAN DE ARAMA,SEDE SUBTENIENTE SATURNINO GUTIERREZ,CAA,3,3,0,COMPLETA
SAN JUANITO,INSTITUCIÓN EDUCATIVA JOHN F KENNEDY,SEDE ANTONIO RICAURTE,CAJM/JT-RI,0,0,0,COMPLETA
SAN JUANITO,INSTITUCIÓN EDUCATIVA JOHN F KENNEDY,SEDE LA CANDELARIA,CAJM/JT-RI,0,0,0,COMPLETA
SAN JUANITO,INSTITUCIÓN EDUCATIVA JOHN F KENNEDY,SEDE PRINCIPAL JOHN F KENNEDY,CAJM/JT-RI,1,1,0,COMPLETA
SAN JUANITO,INSTITUCIÓN EDUCATIVA JOHN F KENNEDY,SEDE PRINCIPAL JOHN F KENNEDY,CAARES,2,2,0,COMPLETA
SAN JUANITO,INSTITUCIÓN EDUCATIVA JOHN F KENNEDY,SEDE QUEBRADA BLANCA,CAJM/JT-RI,0,0,0,COMPLETA
SAN JUANITO,INSTITUCIÓN EDUCATIVA JOHN F KENNEDY,SEDE SAN LUIS EL PLAN,CAJM/JT-RI,0,0,0,COMPLETA
SAN LUIS DE CUBARRAL,CENTRO EDUCATIVO DE CUBARRAL,SEDE PRINCIPAL DE CUBARRAL,CAJM/JT-RI,0,0,0,COMPLETA
SAN LUIS DE CUBARRAL,CENTRO EDUCATIVO DE CUBARRAL,SEDE PRINCIPAL DE CUBARRAL,CAARES,2,2,0,COMPLETA
SAN LUIS DE CUBARRAL,CENTRO EDUCATIVO DE CUBARRAL,SEDE SAN CAYETANO,CAJM/JT-RI,0,0,0,COMPLETA
SAN LUIS DE CUBARRAL,INSTITUCIÓN EDUCATIVA JOSE EUSTASIO RIVERA,SEDE PRINCIPAL JOSE EUSTASIO RIVERA,CAJM/JT-RI,4,4,0,COMPLETA
SAN MARTÍN,CENTRO EDUCATIVO CAMOITA,SEDE PRINCIPAL CAMOITA,CAJM/JT-RI,0,0,0,COMPLETA
SAN MARTÍN,CENTRO EDUCATIVO CAMOITA,SEDE LA BENDICION,CAARES,3,2,-1,DEFICIT
SAN MARTÍN,CENTRO EDUCATIVO CAMOITA,SEDE LA CRISTALINA,CAARES,1,1,0,COMPLETA
SAN MARTÍN,INSTITUCIÓN EDUCATIVA INTEGRADO DE SAN MARTIN,SEDE ANTONIO NARINO,CAJM/JT-RI,1,1,0,COMPLETA
SAN MARTÍN,INSTITUCIÓN EDUCATIVA INTEGRADO DE SAN MARTIN,SEDE ATANASIO GIRARDOT,CAJM/JT-RI,1,1,0,COMPLETA
SAN MARTÍN,INSTITUCIÓN EDUCATIVA INTEGRADO DE SAN MARTIN,SEDE EL LIBERTADOR,CAJM/JT-RI,1,1,0,COMPLETA
SAN MARTÍN,INSTITUCIÓN EDUCATIVA INTEGRADO DE SAN MARTIN,SEDE ENRIQUE GALVEZ ALVAREZ,CAJM/JT-RI,2,2,0,COMPLETA
SAN MARTÍN,INSTITUCIÓN EDUCATIVA INTEGRADO DE SAN MARTIN,SEDE JUAN JOSE RONDON,CAJM/JT-RI,1,1,0,COMPLETA
SAN MARTÍN,INSTITUCIÓN EDUCATIVA INTEGRADO DE SAN MARTIN,SEDE PRINCIPAL INTEGRADO DE SAN MARTIN,CAJM/JT-RI,3,3,0,COMPLETA
SAN MARTÍN,INSTITUCIÓN EDUCATIVA IRACA,SEDE CRISTOBAL COLON,CAJM/JT-RI,0,0,0,COMPLETA
SAN MARTÍN,INSTITUCIÓN EDUCATIVA IRACA,SEDE EL BAMBU,CAJM/JT-RI,0,0,0,COMPLETA
SAN MARTÍN,INSTITUCIÓN EDUCATIVA IRACA,SEDE EL TREINTA,CAJM/JT-RI,0,0,0,COMPLETA
SAN MARTÍN,INSTITUCIÓN EDUCATIVA IRACA,SEDE LA REFORMA,CAJM/JT-RI,0,0,0,COMPLETA
SAN MARTÍN,INSTITUCIÓN EDUCATIVA IRACA,SEDE MI CASITA BELLA,CAJM/JT-RI,0,0,0,COMPLETA
SAN MARTÍN,INSTITUCIÓN EDUCATIVA IRACA,SEDE PRINCIPAL IRACA,CAJU-RI,1,1,0,COMPLETA
SAN MARTÍN,INSTITUCIÓN EDUCATIVA IRACA,SEDE PRINCIPAL IRACA,CAA-JU,2,2,0,COMPLETA
SAN MARTÍN,INSTITUCIÓN EDUCATIVA IRACA,SEDE PRINCIPAL IRACA,CAARES,7,10,3,EXCESO
SAN MARTÍN,INSTITUCIÓN EDUCATIVA MANUELA BELTRAN,SEDE ANTONIO RICAURTE,CAJM/JT-RI,1,1,0,COMPLETA
SAN MARTÍN,INSTITUCIÓN EDUCATIVA MANUELA BELTRAN,SEDE LOS ANDES,CAJM/JT-RI,1,1,0,COMPLETA
SAN MARTÍN,INSTITUCIÓN EDUCATIVA MANUELA BELTRAN,SEDE PRINCIPAL MANUELA BELTRAN,CAJM/JT-RI,3,3,0,COMPLETA
SAN MARTÍN,INSTITUCIÓN EDUCATIVA MANUELA BELTRAN,SEDE RAUL DE OLIVEIRA,CAJM/JT-RI,1,1,0,COMPLETA
URIBE,CENTRO EDUCATIVO EL DIVISO,SEDE PRINCIPAL EL DIVISO,CAA,2,2,0,COMPLETA
URIBE,CENTRO EDUCATIVO EL DIVISO,SEDE CANDILEJAS,CAA,1,1,0,COMPLETA
URIBE,CENTRO EDUCATIVO EL DIVISO,SEDE EL GUAYABERO,CAJM/JT-RI,0,0,0,COMPLETA
URIBE,CENTRO EDUCATIVO EL DIVISO,SEDE EL PARAISO,CAA,1,1,0,COMPLETA
URIBE,CENTRO EDUCATIVO EL DIVISO,SEDE EL PROGRESO,CAJM/JT-RI,0,0,0,COMPLETA
URIBE,CENTRO EDUCATIVO EL DIVISO,SEDE EL SALITRE,CAJM/JT-RI,0,0,0,COMPLETA
URIBE,CENTRO EDUCATIVO EL DIVISO,SEDE GAVIOTAS,CAJM/JT-RI,0,0,0,COMPLETA
URIBE,CENTRO EDUCATIVO EL DIVISO,SEDE LA ARGELIA,CAA,1,1,0,COMPLETA
URIBE,CENTRO EDUCATIVO EL DIVISO,SEDE SAN CARLOS,CAA,1,1,0,COMPLETA
URIBE,CENTRO EDUCATIVO EL DIVISO,SEDE SANTANDER,CAJM/JT-RI,0,0,0,COMPLETA
URIBE,CENTRO EDUCATIVO EL DIVISO,SEDE EL EDEN,CAA,1,1,0,COMPLETA
URIBE,CENTRO EDUCATIVO EL DIVISO,SEDE LA UNION,CAA,1,1,0,COMPLETA
URIBE,CENTRO EDUCATIVO EL DIVISO,SEDE EL TIGRE,CAJM/JT-RI,0,0,0,COMPLETA
URIBE,INSTITUCIÓN EDUCATIVA LA JULIA,SEDE ALTO DUDA,CAJM/JT-RI,0,0,0,COMPLETA
URIBE,INSTITUCIÓN EDUCATIVA LA JULIA,SEDE BAJA ESTRELLA,CAJM/JT-RI,0,0,0,COMPLETA
URIBE,INSTITUCIÓN EDUCATIVA LA JULIA,SEDE BUENOS AIRES,CAJM/JT-RI,0,0,0,COMPLETA
URIBE,INSTITUCIÓN EDUCATIVA LA JULIA,SEDE EL PLACER,CAA,1,1,0,COMPLETA
URIBE,INSTITUCIÓN EDUCATIVA LA JULIA,SEDE EL RESGUARDO,CAJM/JT-RI,0,0,0,COMPLETA
URIBE,INSTITUCIÓN EDUCATIVA LA JULIA,SEDE EL TRIUNFO,CAJM/JT-RI,0,0,0,COMPLETA
URIBE,INSTITUCIÓN EDUCATIVA LA JULIA,SEDE ESPELDA,CAJM/JT-RI,0,0,0,COMPLETA
URIBE,INSTITUCIÓN EDUCATIVA LA JULIA,SEDE JUAN LEON,CAARES,2,2,0,COMPLETA
URIBE,INSTITUCIÓN EDUCATIVA LA JULIA,SEDE LA AMISTAD,CAJM/JT-RI,0,0,0,COMPLETA
URIBE,INSTITUCIÓN EDUCATIVA LA JULIA,SEDE LA BELLEZA,CAJM/JT-RI,0,0,0,COMPLETA
URIBE,INSTITUCIÓN EDUCATIVA LA JULIA,SEDE LA CHAMUZA,CAJM/JT-RI,0,0,0,COMPLETA
URIBE,INSTITUCIÓN EDUCATIVA LA JULIA,SEDE LA PALESTINA,CAJM/JT-RI,0,0,0,COMPLETA
URIBE,INSTITUCIÓN EDUCATIVA LA JULIA,SEDE LA PISTA,CAA,1,1,0,COMPLETA
URIBE,INSTITUCIÓN EDUCATIVA LA JULIA,SEDE LA PRIMAVERA,CAA,1,1,0,COMPLETA
URIBE,INSTITUCIÓN EDUCATIVA LA JULIA,SEDE LA SIRIA,CAJM/JT-RI,0,0,0,COMPLETA
URIBE,INSTITUCIÓN EDUCATIVA LA JULIA,SEDE LAS ROSAS,CAJM/JT-RI,0,0,0,COMPLETA
URIBE,INSTITUCIÓN EDUCATIVA LA JULIA,SEDE MANSITAS,CAJM/JT-RI,0,0,0,COMPLETA
URIBE,INSTITUCIÓN EDUCATIVA LA JULIA,SEDE MONTEALEGRE,CAJM/JT-RI,0,0,0,COMPLETA
URIBE,INSTITUCIÓN EDUCATIVA LA JULIA,SEDE PALMAR BAJO,CAJM/JT-RI,0,0,0,COMPLETA
URIBE,INSTITUCIÓN EDUCATIVA LA JULIA,SEDE PAUJIL,CAJM/JT-RI,0,0,0,COMPLETA
URIBE,INSTITUCIÓN EDUCATIVA LA JULIA,SEDE PRINCIPAL LA JULIA,CAJM/JT-RI,3,3,0,COMPLETA
URIBE,INSTITUCIÓN EDUCATIVA LA JULIA,SEDE PRINCIPAL LA JULIA,CAARES,4,4,0,COMPLETA
URIBE,INSTITUCIÓN EDUCATIVA LA JULIA,SEDE SIRIA BAJA,CAJM/JT-RI,0,0,0,COMPLETA
URIBE,INSTITUCIÓN EDUCATIVA LA JULIA,SEDE TIERRADENTRO,CAJM/JT-RI,0,0,0,COMPLETA
URIBE,INSTITUCIÓN EDUCATIVA LA JULIA,TIERRADENTRO BAJO,CAJM/JT-RI,0,0,0,COMPLETA
URIBE,INSTITUCIÓN EDUCATIVA LA JULIA,LA PAZ,CAJM/JT-RI,0,0,0,COMPLETA
URIBE,INSTITUCIÓN EDUCATIVA RAFAEL URIBE URIBE,SEDE RAFAEL URIBE URIBE PRIMARIA,CAJM/JT-RI,1,1,0,COMPLETA
URIBE,INSTITUCIÓN EDUCATIVA RAFAEL URIBE URIBE,SEDE PRINCIPAL RAFAEL URIBE URIBE,CAJM/JT-RI,1,1,0,COMPLETA
URIBE,INSTITUCIÓN EDUCATIVA RAFAEL URIBE URIBE,SEDE PRINCIPAL RAFAEL URIBE URIBE,CAARES,3,3,0,COMPLETA
URIBE,INSTITUCIÓN EDUCATIVA RAFAEL URIBE URIBE,SEDE ALTO DIAMANTE,CAJM/JT-RI,0,0,0,COMPLETA
URIBE,INSTITUCIÓN EDUCATIVA RAFAEL URIBE URIBE,SEDE EL MIRADOR,CAJM/JT-RI,0,0,0,COMPLETA
URIBE,INSTITUCIÓN EDUCATIVA RAFAEL URIBE URIBE,SEDE EL VERGEL,CAA,1,1,0,COMPLETA
URIBE,INSTITUCIÓN EDUCATIVA RAFAEL URIBE URIBE,SEDE EXPLANACION,CAJM/JT-RI,0,0,0,COMPLETA
URIBE,INSTITUCIÓN EDUCATIVA RAFAEL URIBE URIBE,SEDE LA GAITANA,CAJM/JT-RI,0,0,0,COMPLETA
URIBE,INSTITUCIÓN EDUCATIVA RAFAEL URIBE URIBE,SEDE LA LIBERTAD,CAA,1,1,0,COMPLETA
URIBE,INSTITUCIÓN EDUCATIVA RAFAEL URIBE URIBE,SEDE LOS PLANES,CAJM/JT-RI,0,0,0,COMPLETA
URIBE,INSTITUCIÓN EDUCATIVA RAFAEL URIBE URIBE,SEDE PAPAMENE,CAJM/JT-RI,0,0,0,COMPLETA
URIBE,INSTITUCIÓN EDUCATIVA RAFAEL URIBE URIBE,SEDE VERSALLES,CAJM/JT-RI,0,0,0,COMPLETA
URIBE,INSTITUCIÓN EDUCATIVA RAFAEL URIBE URIBE,SEDE YAVIA,CAJM/JT-RI,0,0,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA GABRIELA MISTRAL,SEDE ALTO CANAGUAY,CAJM/JT-RI,0,0,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA GABRIELA MISTRAL,SEDE ALTO DELICIAS,CAJM/JT-RI,0,0,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA GABRIELA MISTRAL,SEDE ALTO GUAIMI,CAJM/JT-RI,0,0,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA GABRIELA MISTRAL,SEDE CANO MADRONO,CAJM/JT-RI,0,0,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA GABRIELA MISTRAL,SEDE EL LAUREL,CAJM/JT-RI,0,0,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA GABRIELA MISTRAL,SEDE GUAIMARAL,CAJM/JT-RI,0,0,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA GABRIELA MISTRAL,SEDE LA ARGENTINA,CAJM/JT-RI,0,0,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA GABRIELA MISTRAL,SEDE LA CABANA,CAJM/JT-RI,0,0,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA GABRIELA MISTRAL,SEDE LA ESPANOLA,CAJM/JT-RI,0,0,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA GABRIELA MISTRAL,SEDE PRINCIPAL GABRIELA MISTRAL,CAA-JU,3,3,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA GABRIELA MISTRAL,SEDE PRINCIPAL GABRIELA MISTRAL,CAJU-RI,1,1,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA GABRIELA MISTRAL,SEDE SIMON BOLIVAR,CAJM/JT-RI,0,0,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA LOS CENTAUROS,SEDE LA ESPERANZA,CAJM/JT-RI,2,2,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA LOS CENTAUROS,SEDE NUEVO HORIZONTE,CAJM/JT-RI,1,1,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA LOS CENTAUROS,SEDE PRINCIPAL LOS CENTAUROS,CAJM/JT-RI,3,3,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA LOS CENTAUROS,SEDE VENCEDORES DEL VARGAS,CAA,3,3,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA PEDRO NEL JIMENEZ OBANDO,SEDE CANO AMARILLO,CAA,2,2,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA PEDRO NEL JIMENEZ OBANDO,SEDE GUAPAYA BAJO,CAJM/JT-RI,0,0,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA PEDRO NEL JIMENEZ OBANDO,SEDE GUAPAYA MEDIO,CAJM/JT-RI,0,0,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA PEDRO NEL JIMENEZ OBANDO,SEDE MELENDEZ ANGEL,CAJM/JT-RI,0,0,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA PEDRO NEL JIMENEZ OBANDO,SEDE PRINCIPAL PEDRO NEL JIMENEZ OBANDO,CAA,2,2,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA PEDRO NEL JIMENEZ OBANDO,SEDE PRINCIPAL PEDRO NEL JIMENEZ OBANDO,CAARES,3,3,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA RAMON ARROYAVE,SEDE ALTO BUENOS AIRES,CAJM/JT-RI,0,0,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA RAMON ARROYAVE,SEDE ALTO GUAPAYA,CAJM/JT-RI,0,0,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA RAMON ARROYAVE,SEDE BUENOS AIRES,CAA,1,1,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA RAMON ARROYAVE,SEDE CANO VEINTE,CAJM/JT-RI,0,0,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA RAMON ARROYAVE,SEDE LA ALBANIA,CAA,1,1,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA RAMON ARROYAVE,SEDE PRINCIPAL LA PALESTINA,CAA,3,3,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA RAMON ARROYAVE,SEDE PRINCIPAL LA PALESTINA,CAARES,3,3,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA RAMON ARROYAVE,SEDE EL PORVENIR,CAJM/JT-RI,0,0,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA RAMON ARROYAVE,SEDE LA CRISTALINA,CAJM/JT-RI,0,0,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA SANTO DOMINGO,SEDE AGUALINDA,CAJM/JT-RI,0,0,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA SANTO DOMINGO,SEDE CANO DIAMANTE,CAJM/JT-RI,0,0,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA SANTO DOMINGO,SEDE EL DORADO,CAJM/JT-RI,0,0,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA SANTO DOMINGO,SEDE EL ENCANTO,CAJM/JT-RI,0,0,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA SANTO DOMINGO,SEDE EL RECREO,CAJM/JT-RI,0,0,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA SANTO DOMINGO,SEDE EL VERGEL,CAJM/JT-RI,0,0,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA SANTO DOMINGO,SEDE LA REFORMA,CAJM/JT-RI,0,0,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA SANTO DOMINGO,SEDE LA SIBERIA,CAJM/JT-RI,0,0,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA SANTO DOMINGO,SEDE LAS PALMERAS,CAJM/JT-RI,0,0,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA SANTO DOMINGO,SEDE LOMA LINDA,CAJM/JT-RI,0,0,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA SANTO DOMINGO,SEDE PRINCIPAL SANTO DOMINGO,CAA,3,2,-1,DEFICIT
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA SANTO DOMINGO,SEDE NUEVA COLOMBIA,CAA,1,1,0,COMPLETA
VISTAHERMOSA,INSTITUCIÓN EDUCATIVA SANTO DOMINGO,SEDE TERCER MILENIO,CAJM/JT-RI,0,0,0,COMPLETA
VISTAHERMOSA,CENTRO EDUCATIVO PUERTO LUCAS MARGEN DERECHA,SEDE PRINCIPAL PUERTO LUCAS MARGEN DERECHA,CAJM/JT-RI,0,0,0,COMPLETA
VISTAHERMOSA,CENTRO EDUCATIVO PUERTO LUCAS MARGEN DERECHA,SEDE COSTA RICA,CAA,2,2,0,COMPLETA
VISTAHERMOSA,CENTRO EDUCATIVO PUERTO LUCAS MARGEN DERECHA,SEDE LA MARINA,CAJM/JT-RI,0,0,0,COMPLETA
VISTAHERMOSA,CENTRO EDUCATIVO PUERTO LUCAS MARGEN DERECHA,SEDE TROCHA LA VEINTISEIS,CAJM/JT-RI,0,0,0,COMPLETA
VISTAHERMOSA,CENTRO EDUCATIVO PUERTO LUCAS MARGEN DERECHA,SEDE PUERTO ESPERANZA MARGEN IZQUIERDO,CAJM/JT-RI,0,0,0,COMPLETA
VISTAHERMOSA,CENTRO EDUCATIVO PUERTO LUCAS MARGEN DERECHA,SEDE EL PROGRESO DEL GUEJAR,CAJM/JT-RI,0,0,0,COMPLETA
VISTAHERMOSA,CENTRO EDUCATIVO PUERTO LUCAS MARGEN DERECHA,SEDE SAN JOSE DE JAMUCO,CAJM/JT-RI,0,0,0,COMPLETA
VISTAHERMOSA,CENTRO EDUCATIVO PUERTO LUCAS MARGEN DERECHA,SEDE ALTO TERMALES,CAJM/JT-RI,0,0,0,COMPLETA
VISTAHERMOSA,CENTRO EDUCATIVO PUERTO LUCAS MARGEN DERECHA,SEDE CANO BLANCO,CAJM/JT-RI,0,0,0,COMPLETA
VISTAHERMOSA,CENTRO EDUCATIVO PUERTO LUCAS MARGEN DERECHA,SEDE JORGE ELIECER GARZON VELASCO,CAJM/JT-RI,0,0,0,COMPLETA
